"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
4,2,1,"2","retained",1,2025-09-09 12:27:46.220009
7,2,1,"2","retained",1,2025-09-09 12:27:46.220009
11,2,1,"1","retained",1,2025-09-09 12:27:46.220009
14,2,1,"2","retained",1,2025-09-09 12:27:46.220009
15,2,1,"2","retained",1,2025-09-09 12:27:46.220009
16,2,1,"1","retained",1,2025-09-09 12:27:46.220009
18,2,1,"1","retained",1,2025-09-09 12:27:46.220009
19,2,1,"1","retained",1,2025-09-09 12:27:46.220009
20,2,1,"2","retained",1,2025-09-09 12:27:46.220009
21,2,1,"2","retained",1,2025-09-09 12:27:46.220009
23,2,1,"1","retained",1,2025-09-09 12:27:46.220009
24,2,1,"1","retained",1,2025-09-09 12:27:46.220009
27,2,1,"2","retained",1,2025-09-09 12:27:46.220009
29,2,1,"5","retained",1,2025-09-09 12:27:46.220009
30,2,1,"1","retained",1,2025-09-09 12:27:46.220009
31,2,1,"1","retained",1,2025-09-09 12:27:46.220009
33,2,1,"1","retained",1,2025-09-09 12:27:46.220009
34,2,1,"1","retained",1,2025-09-09 12:27:46.220009
35,2,1,"3","retained",1,2025-09-09 12:27:46.220009
37,2,1,"3","retained",1,2025-09-09 12:27:46.220009
39,2,1,"1","retained",1,2025-09-09 12:27:46.220009
40,2,1,"1","retained",1,2025-09-09 12:27:46.220009
42,2,1,"1","retained",1,2025-09-09 12:27:46.220009
45,2,1,"1","retained",1,2025-09-09 12:27:46.220009
48,2,1,"1","retained",1,2025-09-09 12:27:46.220009
49,2,1,"1","retained",1,2025-09-09 12:27:46.220009
52,2,1,"3","retained",1,2025-09-09 12:27:46.220009
53,2,1,"1","retained",1,2025-09-09 12:27:46.220009
55,2,1,"5","retained",1,2025-09-09 12:27:46.220009
58,2,1,"13","retained",1,2025-09-09 12:27:46.220009
60,2,1,"1","retained",1,2025-09-09 12:27:46.220009
62,2,1,"2","retained",1,2025-09-09 12:27:46.220009
63,2,1,"6","retained",1,2025-09-09 12:27:46.220009
64,2,1,"1","retained",1,2025-09-09 12:27:46.220009
65,2,1,"7","retained",1,2025-09-09 12:27:46.220009
66,2,1,"1","retained",1,2025-09-09 12:27:46.220009
68,2,1,"3","retained",1,2025-09-09 12:27:46.220009
69,2,1,"8","retained",1,2025-09-09 12:27:46.220009
71,2,1,"1","retained",1,2025-09-09 12:27:46.220009
72,2,1,"3","retained",1,2025-09-09 12:27:46.220009
75,2,1,"2","retained",1,2025-09-09 12:27:46.220009
76,2,1,"3","retained",1,2025-09-09 12:27:46.220009
78,2,1,"6","retained",1,2025-09-09 12:27:46.220009
79,2,1,"1","retained",1,2025-09-09 12:27:46.220009
80,2,1,"2","retained",1,2025-09-09 12:27:46.220009
81,2,1,"7","retained",1,2025-09-09 12:27:46.220009
83,2,1,"3","retained",1,2025-09-09 12:27:46.220009
85,2,1,"11","retained",1,2025-09-09 12:27:46.220009
86,2,1,"2","retained",1,2025-09-09 12:27:46.220009
87,2,1,"2","retained",1,2025-09-09 12:27:46.220009
88,2,1,"2","retained",1,2025-09-09 12:27:46.220009
91,2,1,"4","retained",1,2025-09-09 12:27:46.220009
94,2,1,"5","retained",1,2025-09-09 12:27:46.220009
95,2,1,"3","retained",1,2025-09-09 12:27:46.220009
96,2,1,"1","retained",1,2025-09-09 12:27:46.220009
98,2,1,"3","retained",1,2025-09-09 12:27:46.220009
100,2,1,"3","retained",1,2025-09-09 12:27:46.220009
101,2,1,"4","retained",1,2025-09-09 12:27:46.220009
103,2,1,"20","retained",1,2025-09-09 12:27:46.220009
107,2,1,"6","retained",1,2025-09-09 12:27:46.220009
108,2,1,"2","retained",1,2025-09-09 12:27:46.220009
110,2,1,"3","retained",1,2025-09-09 12:27:46.220009
111,2,1,"4","retained",1,2025-09-09 12:27:46.220009
113,2,1,"7","retained",1,2025-09-09 12:27:46.220009
115,2,1,"1","retained",1,2025-09-09 12:27:46.220009
116,2,1,"8","retained",1,2025-09-09 12:27:46.220009
119,2,1,"3","retained",1,2025-09-09 12:27:46.220009
120,2,1,"1","retained",1,2025-09-09 12:27:46.220009
122,2,1,"3","retained",1,2025-09-09 12:27:46.220009
123,2,1,"2","retained",1,2025-09-09 12:27:46.220009
126,2,1,"4","retained",1,2025-09-09 12:27:46.220009
129,2,1,"5","retained",1,2025-09-09 12:27:46.220009
131,2,1,"1","retained",1,2025-09-09 12:27:46.220009
132,2,1,"5","retained",1,2025-09-09 12:27:46.220009
133,2,1,"1","retained",1,2025-09-09 12:27:46.220009
135,2,1,"2","retained",1,2025-09-09 12:27:46.220009
136,2,1,"2","retained",1,2025-09-09 12:27:46.220009
137,2,1,"1","retained",1,2025-09-09 12:27:46.220009
138,2,1,"7","retained",1,2025-09-09 12:27:46.220009
140,2,1,"1","retained",1,2025-09-09 12:27:46.220009
141,2,1,"3","retained",1,2025-09-09 12:27:46.220009
145,2,1,"2","retained",1,2025-09-09 12:27:46.220009
147,2,1,"6","retained",1,2025-09-09 12:27:46.220009
151,2,1,"4","retained",1,2025-09-09 12:27:46.220009
152,2,1,"6","retained",1,2025-09-09 12:27:46.220009
153,2,1,"1","retained",1,2025-09-09 12:27:46.220009
154,2,1,"4","retained",1,2025-09-09 12:27:46.220009
156,2,1,"1","retained",1,2025-09-09 12:27:46.220009
157,2,1,"2","retained",1,2025-09-09 12:27:46.220009
158,2,1,"2","retained",1,2025-09-09 12:27:46.220009
159,2,1,"3","retained",1,2025-09-09 12:27:46.220009
160,2,1,"2","retained",1,2025-09-09 12:27:46.220009
161,2,1,"1","retained",1,2025-09-09 12:27:46.220009
163,2,1,"6","retained",1,2025-09-09 12:27:46.220009
165,2,1,"1","retained",1,2025-09-09 12:27:46.220009
166,2,1,"7","retained",1,2025-09-09 12:27:46.220009
170,2,1,"15","retained",1,2025-09-09 12:27:46.220009
172,2,1,"2","retained",1,2025-09-09 12:27:46.220009
173,2,1,"1","retained",1,2025-09-09 12:27:46.220009
174,2,1,"1","retained",1,2025-09-09 12:27:46.220009
175,2,1,"4","retained",1,2025-09-09 12:27:46.220009
176,2,1,"2","retained",1,2025-09-09 12:27:46.220009
177,2,1,"6","retained",1,2025-09-09 12:27:46.220009
180,2,1,"2","retained",1,2025-09-09 12:27:46.220009
182,2,1,"4","retained",1,2025-09-09 12:27:46.220009
184,2,1,"2","retained",1,2025-09-09 12:27:46.220009
186,2,1,"1","retained",1,2025-09-09 12:27:46.220009
188,2,1,"6","retained",1,2025-09-09 12:27:46.220009
189,2,1,"2","retained",1,2025-09-09 12:27:46.220009
191,2,1,"11","retained",1,2025-09-09 12:27:46.220009
193,2,1,"1","retained",1,2025-09-09 12:27:46.220009
195,2,1,"12","retained",1,2025-09-09 12:27:46.220009
197,2,1,"1","retained",1,2025-09-09 12:27:46.220009
198,2,1,"2","retained",1,2025-09-09 12:27:46.220009
199,2,1,"2","retained",1,2025-09-09 12:27:46.220009
201,2,1,"6","retained",1,2025-09-09 12:27:46.220009
203,2,1,"1","retained",1,2025-09-09 12:27:46.220009
204,2,1,"8","retained",1,2025-09-09 12:27:46.220009
207,2,1,"10","retained",1,2025-09-09 12:27:46.220009
209,2,1,"1","retained",1,2025-09-09 12:27:46.220009
210,2,1,"6","retained",1,2025-09-09 12:27:46.220009
214,2,1,"11","retained",1,2025-09-09 12:27:46.220009
215,2,1,"1","retained",1,2025-09-09 12:27:46.220009
217,2,1,"6","retained",1,2025-09-09 12:27:46.220009
219,2,1,"1","retained",1,2025-09-09 12:27:46.220009
220,2,1,"11","retained",1,2025-09-09 12:27:46.220009
224,2,1,"1","retained",1,2025-09-09 12:27:46.220009
226,2,1,"6","retained",1,2025-09-09 12:27:46.220009
229,2,1,"13","retained",1,2025-09-09 12:27:46.220009
230,2,1,"1","retained",1,2025-09-09 12:27:46.220009
232,2,1,"33","retained",1,2025-09-09 12:27:46.220009
233,2,1,"1","retained",1,2025-09-09 12:27:46.220009
234,2,1,"6","retained",1,2025-09-09 12:27:46.220009
235,2,1,"1","retained",1,2025-09-09 12:27:46.220009
236,2,1,"6","retained",1,2025-09-09 12:27:46.220009
239,2,1,"3","retained",1,2025-09-09 12:27:46.220009
240,2,1,"12","retained",1,2025-09-09 12:27:46.220009
242,2,1,"4","retained",1,2025-09-09 12:27:46.220009
244,2,1,"1","retained",1,2025-09-09 12:27:46.220009
245,2,1,"37","retained",1,2025-09-09 12:27:46.220009
246,2,1,"1","retained",1,2025-09-09 12:27:46.220009
248,2,1,"1","retained",1,2025-09-09 12:27:46.220009
249,2,1,"1","retained",1,2025-09-09 12:27:46.220009
250,2,1,"3","retained",1,2025-09-09 12:27:46.220009
251,2,1,"1","retained",1,2025-09-09 12:27:46.220009
252,2,1,"2","retained",1,2025-09-09 12:27:46.220009
253,2,1,"4","retained",1,2025-09-09 12:27:46.220009
254,2,1,"12","retained",1,2025-09-09 12:27:46.220009
255,2,1,"1","retained",1,2025-09-09 12:27:46.220009
258,2,1,"15","retained",1,2025-09-09 12:27:46.220009
260,2,1,"1","retained",1,2025-09-09 12:27:46.220009
261,2,1,"36","retained",1,2025-09-09 12:27:46.220009
262,2,1,"2","retained",1,2025-09-09 12:27:46.220009
263,2,1,"5","retained",1,2025-09-09 12:27:46.220009
264,2,1,"6","retained",1,2025-09-09 12:27:46.220009
266,2,1,"1","retained",1,2025-09-09 12:27:46.220009
267,2,1,"15","retained",1,2025-09-09 12:27:46.220009
268,2,1,"1","retained",1,2025-09-09 12:27:46.220009
269,2,1,"5","retained",1,2025-09-09 12:27:46.220009
270,2,1,"30","retained",1,2025-09-09 12:27:46.220009
273,2,1,"4","retained",1,2025-09-09 12:27:46.220009
274,2,1,"1","retained",1,2025-09-09 12:27:46.220009
276,2,1,"9","retained",1,2025-09-09 12:27:46.220009
277,2,1,"3","retained",1,2025-09-09 12:27:46.220009
278,2,1,"5","retained",1,2025-09-09 12:27:46.220009
279,2,1,"34","retained",1,2025-09-09 12:27:46.220009
280,2,1,"1","retained",1,2025-09-09 12:27:46.220009
281,2,1,"4","retained",1,2025-09-09 12:27:46.220009
283,2,1,"18","retained",1,2025-09-09 12:27:46.220009
285,2,1,"2","retained",1,2025-09-09 12:27:46.220009
286,2,1,"4","retained",1,2025-09-09 12:27:46.220009
287,2,1,"17","retained",1,2025-09-09 12:27:46.220009
288,2,1,"1","retained",1,2025-09-09 12:27:46.220009
289,2,1,"33","retained",1,2025-09-09 12:27:46.220009
290,2,1,"5","retained",1,2025-09-09 12:27:46.220009
292,2,1,"9","retained",1,2025-09-09 12:27:46.220009
296,2,1,"10","retained",1,2025-09-09 12:27:46.220009
298,2,1,"27","retained",1,2025-09-09 12:27:46.220009
299,2,1,"2","retained",1,2025-09-09 12:27:46.220009
304,2,1,"40","retained",1,2025-09-09 12:27:46.220009
307,2,1,"13","retained",1,2025-09-09 12:27:46.220009
308,2,1,"4","retained",1,2025-09-09 12:27:46.220009
309,2,1,"1","retained",1,2025-09-09 12:27:46.220009
310,2,1,"21","retained",1,2025-09-09 12:27:46.220009
311,2,1,"2","retained",1,2025-09-09 12:27:46.220009
313,2,1,"4","retained",1,2025-09-09 12:27:46.220009
316,2,1,"8","retained",1,2025-09-09 12:27:46.220009
317,2,1,"4","retained",1,2025-09-09 12:27:46.220009
318,2,1,"1","retained",1,2025-09-09 12:27:46.220009
319,2,1,"5","retained",1,2025-09-09 12:27:46.220009
320,2,1,"2","retained",1,2025-09-09 12:27:46.220009
323,2,1,"9","retained",1,2025-09-09 12:27:46.220009
324,2,1,"1","retained",1,2025-09-09 12:27:46.220009
326,2,1,"15","retained",1,2025-09-09 12:27:46.220009
329,2,1,"8","retained",1,2025-09-09 12:27:46.220009
332,2,1,"2","retained",1,2025-09-09 12:27:46.220009
335,2,1,"2","retained",1,2025-09-09 12:27:46.220009
336,2,1,"5","retained",1,2025-09-09 12:27:46.220009
338,2,1,"6","retained",1,2025-09-09 12:27:46.220009
342,2,1,"2","retained",1,2025-09-09 12:27:46.220009
345,2,1,"2","retained",1,2025-09-09 12:27:46.220009
348,2,1,"3","retained",1,2025-09-09 12:27:46.220009
349,2,1,"1","retained",1,2025-09-09 12:27:46.220009
354,2,1,"1","retained",1,2025-09-09 12:27:46.220009
355,2,1,"1","retained",1,2025-09-09 12:27:46.220009
360,2,1,"2","retained",1,2025-09-09 12:27:46.220009
363,2,1,"2","retained",1,2025-09-09 12:27:46.220009
364,2,1,"1","retained",1,2025-09-09 12:27:46.220009
367,2,1,"3","retained",1,2025-09-09 12:27:46.220009
368,2,1,"4","retained",1,2025-09-09 12:27:46.220009
370,2,1,"4","retained",1,2025-09-09 12:27:46.220009
373,2,1,"3","retained",1,2025-09-09 12:27:46.220009
377,2,1,"2","retained",1,2025-09-09 12:27:46.220009
379,2,1,"1","retained",1,2025-09-09 12:27:46.220009
380,2,1,"5","retained",1,2025-09-09 12:27:46.220009
382,2,1,"1","retained",1,2025-09-09 12:27:46.220009
383,2,1,"1","retained",1,2025-09-09 12:27:46.220009
386,2,1,"6","retained",1,2025-09-09 12:27:46.220009
388,2,1,"1","retained",1,2025-09-09 12:27:46.220009
389,2,1,"1","retained",1,2025-09-09 12:27:46.220009
392,2,1,"3","retained",1,2025-09-09 12:27:46.220009
393,2,1,"1","retained",1,2025-09-09 12:27:46.220009
398,2,1,"5","retained",1,2025-09-09 12:27:46.220009
400,2,1,"2","retained",1,2025-09-09 12:27:46.220009
404,2,1,"4","retained",1,2025-09-09 12:27:46.220009
405,2,1,"1","retained",1,2025-09-09 12:27:46.220009
407,2,1,"5","retained",1,2025-09-09 12:27:46.220009
412,2,1,"2","retained",1,2025-09-09 12:27:46.220009
414,2,1,"3","retained",1,2025-09-09 12:27:46.220009
418,2,1,"3","retained",1,2025-09-09 12:27:46.220009
420,2,1,"1","retained",1,2025-09-09 12:27:46.220009
422,2,1,"1","retained",1,2025-09-09 12:27:46.220009
423,2,1,"1","retained",1,2025-09-09 12:27:46.220009
426,2,1,"1","retained",1,2025-09-09 12:27:46.220009
436,2,1,"2","retained",1,2025-09-09 12:27:46.220009
448,2,1,"1","retained",1,2025-09-09 12:27:46.220009
453,2,1,"1","retained",1,2025-09-09 12:27:46.220009
474,2,1,"1","retained",1,2025-09-09 12:27:46.220009
481,2,1,"1","retained",1,2025-09-09 12:27:46.220009
484,2,1,"2","retained",1,2025-09-09 12:27:46.220009
494,2,1,"1","retained",1,2025-09-09 12:27:46.220009
496,2,1,"1","retained",1,2025-09-09 12:27:46.220009
498,2,1,"1","retained",1,2025-09-09 12:27:46.220009
503,2,1,"2","retained",1,2025-09-09 12:27:46.220009
505,2,1,"1","retained",1,2025-09-09 12:27:46.220009
516,2,1,"1","retained",1,2025-09-09 12:27:46.220009
527,2,1,"1","retained",1,2025-09-09 12:27:46.220009
528,2,1,"2","retained",1,2025-09-09 12:27:46.220009
207,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
264,2,NA,"2","retained",1,2025-09-09 12:27:46.220009
276,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
289,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
295,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
1,15,1,"1","retained",1,2025-09-09 12:27:46.220009
3,15,1,"1","retained",1,2025-09-09 12:27:46.220009
4,15,1,"1","retained",1,2025-09-09 12:27:46.220009
9,15,1,"2","retained",1,2025-09-09 12:27:46.220009
11,15,1,"3","retained",1,2025-09-09 12:27:46.220009
14,15,1,"1","retained",1,2025-09-09 12:27:46.220009
18,15,1,"2","retained",1,2025-09-09 12:27:46.220009
21,15,1,"1","retained",1,2025-09-09 12:27:46.220009
25,15,1,"2","retained",1,2025-09-09 12:27:46.220009
26,15,1,"1","retained",1,2025-09-09 12:27:46.220009
29,15,1,"1","retained",1,2025-09-09 12:27:46.220009
34,15,1,"1","retained",1,2025-09-09 12:27:46.220009
35,15,1,"1","retained",1,2025-09-09 12:27:46.220009
41,15,1,"2","retained",1,2025-09-09 12:27:46.220009
42,15,1,"1","retained",1,2025-09-09 12:27:46.220009
43,15,1,"2","retained",1,2025-09-09 12:27:46.220009
46,15,1,"1","retained",1,2025-09-09 12:27:46.220009
49,15,1,"2","retained",1,2025-09-09 12:27:46.220009
52,15,1,"1","retained",1,2025-09-09 12:27:46.220009
57,15,1,"2","retained",1,2025-09-09 12:27:46.220009
58,15,1,"3","retained",1,2025-09-09 12:27:46.220009
60,15,1,"3","retained",1,2025-09-09 12:27:46.220009
62,15,1,"1","retained",1,2025-09-09 12:27:46.220009
63,15,1,"1","retained",1,2025-09-09 12:27:46.220009
65,15,1,"1","retained",1,2025-09-09 12:27:46.220009
66,15,1,"1","retained",1,2025-09-09 12:27:46.220009
67,15,1,"1","retained",1,2025-09-09 12:27:46.220009
68,15,1,"2","retained",1,2025-09-09 12:27:46.220009
72,15,1,"4","retained",1,2025-09-09 12:27:46.220009
80,15,1,"2","retained",1,2025-09-09 12:27:46.220009
83,15,1,"3","retained",1,2025-09-09 12:27:46.220009
85,15,1,"4","retained",1,2025-09-09 12:27:46.220009
87,15,1,"1","retained",1,2025-09-09 12:27:46.220009
88,15,1,"2","retained",1,2025-09-09 12:27:46.220009
92,15,1,"1","retained",1,2025-09-09 12:27:46.220009
94,15,1,"1","retained",1,2025-09-09 12:27:46.220009
98,15,1,"2","retained",1,2025-09-09 12:27:46.220009
103,15,1,"2","retained",1,2025-09-09 12:27:46.220009
110,15,1,"4","retained",1,2025-09-09 12:27:46.220009
115,15,1,"3","retained",1,2025-09-09 12:27:46.220009
123,15,1,"2","retained",1,2025-09-09 12:27:46.220009
128,15,1,"1","retained",1,2025-09-09 12:27:46.220009
129,15,1,"3","retained",1,2025-09-09 12:27:46.220009
132,15,1,"1","retained",1,2025-09-09 12:27:46.220009
137,15,1,"1","retained",1,2025-09-09 12:27:46.220009
140,15,1,"1","retained",1,2025-09-09 12:27:46.220009
141,15,1,"2","retained",1,2025-09-09 12:27:46.220009
144,15,1,"1","retained",1,2025-09-09 12:27:46.220009
145,15,1,"1","retained",1,2025-09-09 12:27:46.220009
152,15,1,"2","retained",1,2025-09-09 12:27:46.220009
159,15,1,"1","retained",1,2025-09-09 12:27:46.220009
160,15,1,"1","retained",1,2025-09-09 12:27:46.220009
161,15,1,"1","retained",1,2025-09-09 12:27:46.220009
165,15,1,"3","retained",1,2025-09-09 12:27:46.220009
170,15,1,"2","retained",1,2025-09-09 12:27:46.220009
172,15,1,"2","retained",1,2025-09-09 12:27:46.220009
173,15,1,"1","retained",1,2025-09-09 12:27:46.220009
177,15,1,"1","retained",1,2025-09-09 12:27:46.220009
180,15,1,"1","retained",1,2025-09-09 12:27:46.220009
186,15,1,"1","retained",1,2025-09-09 12:27:46.220009
189,15,1,"1","retained",1,2025-09-09 12:27:46.220009
191,15,1,"1","retained",1,2025-09-09 12:27:46.220009
193,15,1,"1","retained",1,2025-09-09 12:27:46.220009
198,15,1,"1","retained",1,2025-09-09 12:27:46.220009
201,15,1,"1","retained",1,2025-09-09 12:27:46.220009
203,15,1,"4","retained",1,2025-09-09 12:27:46.220009
204,15,1,"1","retained",1,2025-09-09 12:27:46.220009
