"date","sheet_name","total_up","total_down","total_net_up","total_salmon_hour","avg_duration","created_at","updated_at","updated_by"
2023-08-20,"HF",18133,29,18104,54312,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-20,"LF",2096,41,2055,6165,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-20,"LR",102,7,95,570,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"HF",21779,33,21746,65238,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"LF",1356,25,1331,3993,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"LR",52,7,45,270,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"HF",18625,38,18587,55761,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"LF",1859,64,1795,5385,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"LR",144,8,136,816,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"HF",15413,79,15334,46002,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"LF",5235,60,5175,15525,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"LR",551,8,543,3258,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"HF",17848,118,17730,53190,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"LF",2418,257,2161,6483,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"LR",166,17,149,894,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"HF",34762,225,34537,103611,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"LF",2009,315,1694,5082,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"LR",154,21,133,798,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"HF",41170,174,40996,128625,19.7872340425532,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"LF",6538,158,6380,19140,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"LR",283,9,274,1644,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"HF",47601,120,47481,146932.5,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"LF",5485,88,5397,16191,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"LR",188,10,178,1068,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"HF",37155,134,37021,111063,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"LF",1682,103,1579,4737,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"LR",36,11,25,150,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"HF",23834,124,23710,71130,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"LF",1223,215,1008,3024,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"LR",38,29,9,54,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"HF",27267,105,27162,81486,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"LF",1072,130,942,2826,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"LR",25,12,13,78,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"HF",54671,66,54605,178449,19.375,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"LF",1121,47,1074,3222,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"LR",19,3,16,96,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"HF",74036,56,73980,314256,17.2916666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"LF",1414,38,1376,4128,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"LR",43,5,38,228,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"HF",61370,66,61304,281346,17.0833333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"LF",3153,60,3093,9279,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"LR",87,5,82,492,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"HF",65061,55,65006,228147,18.75,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"LF",2163,72,2091,6273,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"LR",103,12,91,552,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"HF",83283,41,83242,364583.381410256,16.5227272727273,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"LF",2223,46,2177,6907.78991596639,19.8048780487805,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"LR",87,11,76,456,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"HF",73463,65,73398,394470,14.0540540540541,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"LF",3411,65,3346,10038,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"LR",290,13,277,1662,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"HF",90429,37,90392,517678.5,13.7083333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"LF",3796,53,3743,11229,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"LR",587,10,577,3462,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-07,"HF",87643,56,87587,471873,15.1063829787234,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-07,"LF",2109,78,2031,6093,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-07,"LR",96,6,90,540,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"HF",57674,82,57592,263046,16.4583333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"LF",3029,147,2882,8646,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"LR",130,7,123,738,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"HF",52565,77,52488,191376,18.7234042553191,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"LF",2423,131,2292,6876,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"LR",82,24,58,348,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-10,"HF",60633,69,60564,203031,19.1666666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-10,"LF",2438,155,2283,6849,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-10,"LR",226,21,205,1230,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-11,"HF",58134,86,58048,245166,17.5,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-11,"LF",1796,122,1674,5022,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-11,"LR",77,28,49,294,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-12,"HF",58330,77,58253,243180,17.5,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-12,"LF",2176,142,2034,6102,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-12,"LR",189,22,167,1002,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-13,"HF",56994,44,56950,203193,18.75,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-13,"LF",2259,94,2165,6495,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-13,"LR",91,23,68,408,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-14,"HF",60655,62,60593,276384,16.6666666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-14,"LF",2107,142,1965,5967,19.7916666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-14,"LR",83,63,20,120,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-15,"HF",61937,65,61872,274215,16.4583333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-15,"LF",2946,191,2755,8265,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-15,"LR",178,65,113,678,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-16,"HF",59222,95,59127,261339,17.0833333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-16,"LF",1723,173,1550,4650,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-16,"LR",74,60,14,84,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-17,"HF",45101,81,45020,152112,19.3181818181818,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-17,"LF",1425,169,1256,3792.23076923077,19.8444444444444,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-17,"LR",69,65,4,24,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-18,"HF",38219,107,38112,119664,19.7619047619048,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-18,"LF",1411,171,1240,3728,19.8809523809524,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-18,"LR",44,98,-54,-324,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-19,"HF",43768,59,43709,150349.285714286,18.8958333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-19,"LF",1256,135,1121,3366.85714285714,19.875,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-19,"LR",56,42,14,84,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-20,"HF",45793,52,45741,162135,18.9583333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-20,"LF",926,110,816,2448,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-20,"LR",33,40,-7,-42,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-21,"HF",48371,72,48299,152298,19.7826086956522,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-21,"LF",1488,137,1351,4053,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-21,"LR",68,55,13,90,9.91666666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-22,"HF",38676,83,38593,115779,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-22,"LF",575,127,448,1344,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-22,"LR",71,69,2,12,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-23,"HF",32216,91,32125,96375,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-23,"LF",958,128,830,2490,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-23,"LR",28,59,-31,-186,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-24,"HF",28726,100,28626,85878,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-24,"LF",597,113,484,1452,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-24,"LR",53,52,1,6,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-25,"HF",22223,113,22110,66330,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-25,"LF",1138,115,1023,3128.33333333333,19.9166666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-25,"LR",42,45.5,-3.5,-21,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-26,"HF",15168.5,61,15107.5,45322.5,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-26,"LF",635,159,476,1447,19.8958333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-26,"LR",23,75,-52,-312,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-27,"HF",10894,44,10850,32984.5384615385,19.8510638297872,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-27,"LF",295,119,176,528,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-27,"LR",14,50,-36,-216,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-28,"HF",10675,31,10644,31932,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-28,"LF",661,77,584,1752,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-28,"LR",17,43,-26,-156,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-29,"HF",9284,33,9251,27753,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-29,"LF",710,86,624,1872,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-29,"LR",30,52,-22,-132,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-30,"HF",9500,29,9471,28413,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-30,"LF",342,74,268,804,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-30,"LR",14,93,-79,-474,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-01,"HF",8217,35,8182,24546,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-01,"LF",353,54,299,897,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-01,"LR",16,32,-16,-96,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-02,"HF",6226,34,6192,18583.5,19.9166666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-02,"LF",459,44,415,1245,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-02,"LR",11,40,-29,-174,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-03,"HF",5652,22,5630,16890,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-03,"LF",285,45,240,720,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-03,"LR",7,30,-23,-138,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-04,"HF",4575,20,4555,13665,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-04,"LF",240,45,195,585,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-04,"LR",2,23,-21,-126,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-05,"HF",501,4,497,1491,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-05,"LF",48,12,36,108,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-05,"LR",1,6,-5,-30,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-06,"HF",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-06,"LF",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-06,"LR",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-07,"HF",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-07,"LF",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-10-07,"LR",0,0,0,0,0,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
